Read only,Read only,Read only,Read only,Read only,Read only,Read only,Can update,Can update,Read only
business_id,store_id,upc_id,sku_id,item_name,category_l1,category_l2,default_price,status,currency
"15299327","36902681","|040000497547|","|40000497547|","M&M's Peanut Milk Chocolate Candy Theater Box (3.1 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000497561|","|40000497561|","M&M's Peanut Butter Chocolate Candy Theater Box (3 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000565079|","|40000565079|","Snickers Minis Chocolate Bars Bag (2.48 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000565116|","|40000565116|","3 Musketeers Milk Chocolate Candy Bars Fun Size (2.64 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000017318|","|40000565154|","Twix Caramel & Milk Chocolate Minis Candy Bars Bag (2.43 oz)","Candy","Fruity","1.99","Active","USD"
"15299327","36902681","|040000565192|","|40000565192|","Milky Way Minis Caramel Chocolate Candies (2.64 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|040000579793|","|40000579793|","M&M's Milk Chocolate Candy Bag Share Size (10 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|040000580041|","|40000580041|","M&M's Dark Chocolate & Peanut Candies Bag Sharing Size (9.4 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|040000592846|","|40000592846|","M&M's Mega Peanut Butter Chocolate Candies Sharing Size (8.6 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|5109518|","|40000596882|","Snickers Regular Chocolate Bar (5.2 oz)","Candy","Chocolate","4.00","Active","USD"
"15299327","36902681","|040000597612|","|40000597612|","Dove Promises Individually Wrapped Milk Chocolate Candy Large Bag (14.08 oz)","Candy","Chocolate","9.99","Active","USD"
"15299327","36902681","|040000610472|","|40000610472|","M&M's Honey Roasted Peanut Chocolate Candy Resealable Bag (9 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|7692192|","|40004975610|","M&M's Peanut Butter Chocolate Candy Theater Box (3 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|9833850|","|4026606|","SKITTLES Sour Chewy Candies Bag Bite Size (1.8 oz)","Candy","Fruity","1.50","Active","USD"
"15299327","36902681","|041186172150|","|41186172150|","Andes Chocolate Covered Mint Thins Bag (8.5 oz)","Candy","Chocolate","4.99","Active","USD"
